NMT,anio,mes,dia,tipo,LAEQ,LAS01,LAS10,LAS50,LAS90,LAS99
1,2022,1,1,D,61,68.8,63.9,57.1,50.7,47.4
1,2022,1,1,E,61.7,67.5,64.3,60.4,55.7,53.1
1,2022,1,1,N,62.1,69,64.7,58.2,51.6,47.6
1,2022,1,1,T,61.6,68.3,64.3,58.3,51.9,48.2
2,2022,1,1,D,66.7,73.3,68.3,64.5,59.5,56.4
2,2022,1,1,E,67.3,73.8,68.9,66.4,63.1,60.9
2,2022,1,1,N,69.5,77.5,69.5,65,59.9,56.8
2,2022,1,1,T,67.8,74.3,68.8,65.2,60.1,56.9
3,2022,1,1,D,56.1,65.7,58.9,52.6,46.9,43.8
3,2022,1,1,E,57.2,66.1,59.9,54.6,51.6,49.6
3,2022,1,1,N,75.8,88.5,66.7,59.9,54.6,51
3,2022,1,1,T,71.1,73.2,63.3,55.1,48.7,44.4
5,2022,1,1,D,58.9,65.9,61.2,56.9,52.4,49.3
5,2022,1,1,E,61.4,71.3,63.4,58.6,53.7,50
5,2022,1,1,N,66.6,77.9,64.9,52.5,45.2,41.6
5,2022,1,1,T,63,73.2,62.2,56.6,49.6,44.4
6,2022,1,1,N,65.3,73,67.9,61.5,54.4,50.3
8,2022,1,1,D,60.7,68.3,63.5,58.1,52,49.4
8,2022,1,1,E,62.2,69.4,64.7,60.3,56.1,53
8,2022,1,1,N,61.5,68.8,64.3,58.9,52.3,48.9
8,2022,1,1,T,61.3,68.8,64,58.9,52.9,49.9
10,2022,1,1,D,60.6,70.1,63.7,55.4,50.3,47.9
10,2022,1,1,E,61.4,70.6,65,57.7,52.3,49.4
10,2022,1,1,N,69,80.3,65.2,55,48.6,46.5
10,2022,1,1,T,65.4,72,64.6,56,50.1,47.7
11,2022,1,1,D,63.3,70.4,66.2,59.8,53.2,50.2
11,2022,1,1,E,64.9,71.3,67.6,62.4,56.1,53
11,2022,1,1,N,69.9,72,65.3,57.6,51.5,48.5
11,2022,1,1,T,66.9,71.3,66.4,59.9,53.4,50.3
12,2022,1,1,D,61.1,68.7,62,57.6,53.3,50.4
12,2022,1,1,E,62.3,70.9,62.9,59.1,55.4,52.5
12,2022,1,1,N,62.4,73.5,61.7,55.6,49.6,46.1
12,2022,1,1,T,61.8,70.4,62.2,57.6,52.3,47.5
13,2022,1,1,D,64.1,74,58,50.1,45.5,42.1
13,2022,1,1,E,55.4,64.3,57.7,51.4,46.4,44.2
13,2022,1,1,N,68.8,79,71.3,57.2,47.9,43.9
13,2022,1,1,T,65.9,76.2,66.2,52,46.3,43
14,2022,1,1,D,61.2,68.1,63,58.8,53.8,51
14,2022,1,1,E,70.8,79.7,63.7,59.7,56.2,54
14,2022,1,1,N,64.7,74.6,65.2,58,52.2,49.6
14,2022,1,1,T,66.7,73.5,63.8,58.9,53.5,50.4
16,2022,1,1,D,57.2,63.9,56.8,50.3,43.5,40.6
16,2022,1,1,E,59.9,64.7,57.9,52.4,45.2,42.4
16,2022,1,1,N,59.4,69.6,59,49.6,41.6,39.5
16,2022,1,1,T,58.6,66.7,57.7,50.7,43,40.5
17,2022,1,1,D,63.3,62.5,55.7,49.6,45.8,43.5
17,2022,1,1,E,56.2,62,56.1,51.1,47.3,45.4
17,2022,1,1,N,78.6,89.1,70.6,51.4,45.7,43.8
17,2022,1,1,T,74,82.8,57.9,50.2,45.9,43.9
18,2022,1,1,D,59.8,67.1,55.6,47.5,43.2,39.7
18,2022,1,1,E,62.8,77,57.9,48,44.8,43.2
18,2022,1,1,N,81.1,86,64,48.9,43.5,42.1
18,2022,1,1,T,76.4,76.8,58,47.8,43.5,40.6
19,2022,1,1,D,56.6,65.7,59.5,52.6,47.2,44.7
19,2022,1,1,E,58.1,67.2,60.9,54.9,51,48.7
19,2022,1,1,N,63.9,75.5,63.7,53.2,46.6,43.1
19,2022,1,1,T,60.4,69.7,60.9,53.3,47.4,44.1
20,2022,1,1,D,57.2,65.5,59.9,54.7,48.4,45.6
20,2022,1,1,E,58.2,66.1,61.2,55.9,50.8,48
20,2022,1,1,N,67.2,77.8,62.5,53.9,48.1,44.2
20,2022,1,1,T,62.1,69.7,61,54.8,49,46.1
24,2022,1,1,D,49.5,55.3,49.5,44.8,40.8,38
24,2022,1,1,E,47.5,55.2,49,46.2,44.2,42.4
24,2022,1,1,N,53.5,65.2,57.1,45.3,42.4,41.2
24,2022,1,1,T,51,62.6,51.2,45.3,41.9,38.7
25,2022,1,1,D,65.9,69.7,68.3,65.6,60.9,56.4
25,2022,1,1,E,67,69.9,68.7,66.9,64.3,61.5
25,2022,1,1,N,68.8,70.5,68.3,63.3,57,50.2
25,2022,1,1,T,67.3,69.9,68.4,65.5,60.1,54.7
26,2022,1,1,D,59.9,68.5,63.4,56.8,53.9,51.6
26,2022,1,1,E,60.5,67.8,63.8,58.3,56,54.2
26,2022,1,1,N,58.9,67.5,62.1,55.4,51.3,48.4
26,2022,1,1,T,59.7,68.2,63.1,56.7,53.1,49.6
27,2022,1,1,D,57.3,67,60.9,52.6,45.9,41.7
27,2022,1,1,E,59,67.1,61.4,54.6,51,48.8
27,2022,1,1,N,68.8,68.7,58.9,49.3,44.3,41.5
27,2022,1,1,T,64.5,67.4,60.6,52.2,45.5,41.8
28,2022,1,1,D,64,73,68.1,59.3,48.9,43.3
28,2022,1,1,E,64.3,72.8,67.7,59.9,51.6,46.3
28,2022,1,1,N,68.5,75.4,67.5,55.3,41.8,39.1
28,2022,1,1,T,66.1,73.6,67.9,58.6,46.5,39.8
29,2022,1,1,D,55.5,64.3,59.5,51,42.6,37.4
29,2022,1,1,E,56.6,65.8,59.9,48.4,40.2,36.2
29,2022,1,1,N,52.1,64.6,54.6,42.1,35.5,34.1
29,2022,1,1,T,54.9,64.7,59,47.9,38.3,34.7
30,2022,1,1,D,57,62.8,60.1,56,48,46.3
30,2022,1,1,E,57.9,63.6,60.4,55.9,49.8,47.6
30,2022,1,1,N,57.2,67.5,59.6,48.3,44.2,42.4
30,2022,1,1,T,57.2,65.2,60.1,54.4,46.2,43.8
31,2022,1,1,D,57.8,69.9,60.1,50.6,45.2,42.3
31,2022,1,1,E,59.4,70.4,62.3,52.4,49.4,47.1
31,2022,1,1,N,62.2,71.7,61.8,51.1,46,42.8
31,2022,1,1,T,60,70.5,61.3,51.2,46.1,42.8
47,2022,1,1,D,54.1,66.8,53.2,46.3,42.9,40.3
47,2022,1,1,E,54.7,67.6,54.3,48.2,45.3,44.2
47,2022,1,1,N,65.2,75.8,63,48.8,43.7,42.1
47,2022,1,1,T,59.8,70.1,56.8,47.2,43.5,41
48,2022,1,1,D,56.1,62.8,58.5,54.8,50.5,46.1
48,2022,1,1,E,58,64.9,59.6,57.4,54.6,52.2
48,2022,1,1,N,65.3,73.7,59.9,54.6,48.5,44.7
48,2022,1,1,T,61.6,67.2,59.1,55.5,50.4,46
50,2022,1,1,D,63.3,69.7,64.6,60.2,55.4,52.4
50,2022,1,1,E,64.3,72.3,65.5,61.7,57.8,54.8
50,2022,1,1,N,63.2,72.5,65.3,59.8,52.5,48.7
50,2022,1,1,T,63.5,71,65,60.5,55.2,51.2
54,2022,1,1,D,57.4,64.7,60,54.7,50.5,48.2
54,2022,1,1,E,59.1,65.9,62.1,57.6,53.4,51
54,2022,1,1,N,67.3,69.1,62,55,51.6,49.6
54,2022,1,1,T,63.5,66.2,61.1,55.5,51.5,49.2
55,2022,1,1,D,54.6,64.4,55.9,50.4,46.3,42.6
55,2022,1,1,E,57.7,65.2,56.7,52,49.3,47.7
55,2022,1,1,N,60.2,68.9,58.3,49.6,45.6,44.3
55,2022,1,1,T,57.7,66.2,56.8,50.7,46.2,43.4
86,2022,1,1,D,51.8,61.3,54.8,46.3,41.3,39.3
86,2022,1,1,E,57.7,64.7,56.3,48.2,42.8,40.3
86,2022,1,1,N,67.4,70.6,57.9,43.7,39.1,38.1
86,2022,1,1,T,63,65.1,56,46.3,40.4,38.4
1,2022,1,2,D,60.9,67.9,64.5,58.3,52.2,48.1
1,2022,1,2,E,62.8,70.5,65.3,61.2,56.2,53.1
1,2022,1,2,N,59.4,67.3,63.1,56.1,50.2,47.5
1,2022,1,2,T,60.9,67.9,64.3,58.3,51.6,47.9
2,2022,1,2,D,66.7,72.3,68,63.9,60.4,57.8
2,2022,1,2,E,68,75.5,69.3,66.7,63.5,61.4
2,2022,1,2,N,64.4,70.4,67.4,62.6,57.7,54.6
2,2022,1,2,T,66.4,72,68.2,64.2,59.5,56.1
3,2022,1,2,D,58.3,67.1,61,55.6,48.5,44.5
3,2022,1,2,E,58.9,67.6,61.7,56.7,53.5,50.5
3,2022,1,2,N,57.9,69.6,60.7,52.2,47.4,44.8
3,2022,1,2,T,58.2,67.9,61,55,48.3,44.8
5,2022,1,2,D,60,67.1,62.5,58.2,52.3,45.6
5,2022,1,2,E,60.9,69,63.4,59.1,54.3,50.3
5,2022,1,2,N,51.7,61.2,55.4,46.2,39.9,37.8
5,2022,1,2,T,58.9,66.6,62,56.4,43,38.5
8,2022,1,2,D,62.8,69.6,64.7,60,54.8,51.9
8,2022,1,2,E,62.7,69.9,65.5,61.1,56.7,53.4
8,2022,1,2,N,60.1,68.7,62.6,56.2,48.4,46
8,2022,1,2,T,62.1,69.3,64.1,59,53,50.2
10,2022,1,2,D,61.5,70.8,65.3,57.7,52.4,49
10,2022,1,2,E,63.1,71.5,65.7,58.8,53.8,50.5
10,2022,1,2,N,55.7,67.2,58.2,50,47,46.1
10,2022,1,2,T,60.7,70.4,64.3,55.9,48.3,46.3
11,2022,1,2,D,65.5,71.6,67.7,62.3,56,52.8
11,2022,1,2,E,66.1,73,68.5,63.8,57.6,54.4
11,2022,1,2,N,59.5,68.6,62.7,53.2,46.2,43.8
11,2022,1,2,T,64.4,70.9,66.2,59.6,53,50.1
12,2022,1,2,D,62.8,70.5,63.7,59.6,54.6,50.4
12,2022,1,2,E,61.5,68.4,63.3,60,56.4,53.3
12,2022,1,2,N,54.9,62.9,58.3,51.9,44.6,41
12,2022,1,2,T,61.1,68.4,62.9,58,48.9,42.3
13,2022,1,2,D,56.7,64,57.7,50.8,45.6,43
13,2022,1,2,E,55.2,64.4,57.7,51.8,46.1,43.2
13,2022,1,2,N,50.8,59.8,52.6,44,40.9,39.4
13,2022,1,2,T,55.1,63.3,56.9,48.9,42.3,40.1
14,2022,1,2,D,61.6,67.5,63.5,60,55,51.7
14,2022,1,2,E,61.2,66.6,63.1,59.9,56.6,54.4
14,2022,1,2,N,65.9,69.3,61.3,54.5,49.4,46.5
14,2022,1,2,T,60.5,67,63,58.8,52,47.7
16,2022,1,2,D,57.2,62.4,57.4,51.9,44.8,41.6
16,2022,1,2,E,57.7,63.1,58.1,52.5,45.6,42.3
16,2022,1,2,N,48.9,59.1,52.8,42,37.9,36.3
16,2022,1,2,T,56,62,56.9,49.9,39.9,36.9
17,2022,1,2,D,55.1,65.7,57.1,50.7,46.4,43.9
17,2022,1,2,E,58.7,64.1,56.3,50.5,46.6,43.2
17,2022,1,2,N,47.7,57.3,50.5,44.8,40.6,39.1
17,2022,1,2,T,54.8,64.2,55.8,48.9,42.5,39.6
18,2022,1,2,D,56.5,67.9,56.3,49,44,41.6
18,2022,1,2,E,58.5,68.3,56,48.2,44.2,42.2
18,2022,1,2,N,45.6,55.2,47.5,42.1,39.6,38.3
18,2022,1,2,T,55.5,66.4,54.5,46.7,41,39
19,2022,1,2,D,61,67.2,60.5,53.7,48.7,46
19,2022,1,2,E,58.1,67.4,61.4,54.9,51,48.6
19,2022,1,2,N,52.2,62.7,55,46.8,41.2,38.1
19,2022,1,2,T,59,66.3,59.8,52.3,44.2,39.3
20,2022,1,2,D,59.3,68.4,61.8,56,49.2,44.8
20,2022,1,2,E,60.4,68.4,62.5,56.4,51.3,47.4
20,2022,1,2,N,50.5,61.2,52.9,45.1,41.3,40.1
20,2022,1,2,T,58.1,67.3,60.8,54,43.2,40.4
24,2022,1,2,D,49.1,56,51.4,47.1,44.1,42
24,2022,1,2,E,47.4,54.7,50.4,45.8,43.4,42.1
24,2022,1,2,N,43.8,52.4,46.2,41.9,39.5,38.5
24,2022,1,2,T,47.6,55,50.4,45.5,40.6,39.1
25,2022,1,2,D,67.5,70.6,69.3,67.5,63.9,59.2
25,2022,1,2,E,67.7,70.6,69.2,67.6,65.6,63.6
25,2022,1,2,N,61.5,67.3,64.8,60.2,52,45.1
25,2022,1,2,T,66.4,70.4,68.9,66.4,57.3,47.7
26,2022,1,2,D,60.6,68.1,64.2,58.1,55.6,53.7
26,2022,1,2,E,60.7,68,64,58.6,56.3,54.6
26,2022,1,2,N,55.8,66,57.9,52.8,46,42.4
26,2022,1,2,T,59.6,67.8,63.2,57.3,49.8,43.7
27,2022,1,2,D,59,67.6,62,53,46.8,43.6
27,2022,1,2,E,61.2,67.8,62.1,55.6,51.6,49
27,2022,1,2,N,53.1,64.7,55.6,47.7,40.3,37.1
27,2022,1,2,T,58.4,67.1,60.9,52.3,43.8,38.2
28,2022,1,2,D,65.5,74,69.6,61.5,51.7,44.9
28,2022,1,2,E,64.1,73.1,68,60.3,53.1,47.5
28,2022,1,2,N,57.7,69.7,60.5,45.2,39.6,37.4
28,2022,1,2,T,63.8,73.4,68.1,58,41.9,38.3
29,2022,1,2,D,55.9,64.2,59.9,51.7,43.3,38
29,2022,1,2,E,55.1,64.7,59.9,48.2,40.8,36.7
29,2022,1,2,N,46.5,60.3,45.7,37,33.4,32.7
29,2022,1,2,T,54.2,63.9,58.9,46.9,34.7,33.1
30,2022,1,2,D,58,64,60.6,57.1,49.7,47.4
30,2022,1,2,E,58.7,64.6,61.2,56.2,50.9,48.9
30,2022,1,2,N,49.6,58.6,51,45.3,42.7,41.3
30,2022,1,2,T,56.8,63.5,60.2,54.5,44,41.9
31,2022,1,2,D,63.3,72.8,68.5,55.4,49.6,47.2
31,2022,1,2,E,65.5,72.8,68.6,58.1,51.8,49.1
31,2022,1,2,N,52.1,63.8,51.5,46.8,41.7,39.7
31,2022,1,2,T,62.3,72.3,67,53,44.3,40.4
47,2022,1,2,D,54.7,66.3,53.8,47.8,44.8,43.2
47,2022,1,2,E,54,67.2,53.9,48.3,44.8,42.6
47,2022,1,2,N,48.6,58.9,47.9,43.3,40.2,39.1
47,2022,1,2,T,53.3,65.4,52.8,46.6,41.4,39.4
48,2022,1,2,D,57.1,63.1,59.5,56.5,51.1,45.2
48,2022,1,2,E,61,64.5,60.1,57.9,55.3,52.8
48,2022,1,2,N,52.9,59.7,55.9,50.8,44.7,41.5
48,2022,1,2,T,57.3,62.8,59.2,55.5,47.5,42.6
50,2022,1,2,D,64.2,69.3,65.5,61.4,56.1,51.8
50,2022,1,2,E,64.1,70,66.2,62.8,59,56
50,2022,1,2,N,59.1,66.7,62,55.2,49.4,45.7
50,2022,1,2,T,63.2,68.8,65.2,60.3,52.1,47.2
54,2022,1,2,D,59.9,65.5,61.8,57.6,53.6,50.3
54,2022,1,2,E,60.1,66.3,63,59,54.8,52
54,2022,1,2,N,52.8,61.8,54.8,48.8,46.2,44.8
54,2022,1,2,T,58.6,64.4,59.6,54.9,51.3,48.8
55,2022,1,2,D,53.8,62.9,55.8,50.4,46.7,44.3
55,2022,1,2,E,56.9,65.5,57.3,51.9,48.9,46.8
55,2022,1,2,N,49.5,58.1,51.2,46.2,42.7,41.3
55,2022,1,2,T,53.7,62.6,55.2,49.5,44.3,42
86,2022,1,2,D,54.1,63.1,56.7,48.4,42.9,40
86,2022,1,2,E,52.8,62.7,56.2,48.6,42.7,39.6
86,2022,1,2,N,45.2,57.4,45.3,39.4,37.4,36.9
86,2022,1,2,T,52.4,62.1,55.3,45.6,38.4,37.1
1,2022,1,3,D,68.4,78.8,71.8,64.7,58.2,53
1,2022,1,3,E,62.9,68.9,65.7,61.4,55.3,52.2
1,2022,1,3,N,59.3,67,63.1,54.3,46.5,41.8
1,2022,1,3,T,66.1,76.7,69.4,61.7,50.9,43.8
2,2022,1,3,D,69,75,70.7,68,64.4,61.3
2,2022,1,3,E,67.9,73.8,69.5,66.9,63.6,61.1
2,2022,1,3,N,65.2,71.3,67.9,62.6,56.7,53.2
2,2022,1,3,T,67.8,73.6,69.9,66.7,60.1,54.7
3,2022,1,3,D,61.8,71.8,63.7,58.3,54.1,48.5
3,2022,1,3,E,60.5,68.8,63,58.7,54.1,50.3
3,2022,1,3,N,58.3,69.4,61.2,53.5,47.9,45
3,2022,1,3,T,60.6,70.6,63,57.4,50.2,46
5,2022,1,3,D,62,66.7,63.3,59.6,55.6,52.1
5,2022,1,3,E,62.8,68.6,63.5,59.2,54.2,50
